dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2019;continentExp;Cumulative_number_for_14_days_of;daily_hosp_occ;daily_icu_occ
06Jan2020;6;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
07Jan2020;7;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
07Jan2020;7;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
07Jan2020;7;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
07Jan2020;7;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
07Jan2020;7;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
07Jan2020;7;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
07Jan2020;7;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
07Jan2020;7;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
07Jan2020;7;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
07Jan2020;7;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
07Jan2020;7;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
08Jan2020;8;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
08Jan2020;8;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
08Jan2020;8;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
08Jan2020;8;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
08Jan2020;8;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
08Jan2020;8;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
08Jan2020;8;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
08Jan2020;8;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
08Jan2020;8;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
08Jan2020;8;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
08Jan2020;8;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
09Jan2020;9;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
09Jan2020;9;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
09Jan2020;9;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
09Jan2020;9;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
09Jan2020;9;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
09Jan2020;9;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
09Jan2020;9;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
09Jan2020;9;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
09Jan2020;9;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
09Jan2020;9;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
09Jan2020;9;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
10Jan2020;10;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
10Jan2020;10;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
10Jan2020;10;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
10Jan2020;10;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
10Jan2020;10;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
10Jan2020;10;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
10Jan2020;10;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
10Jan2020;10;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
10Jan2020;10;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
10Jan2020;10;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
10Jan2020;10;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
11Jan2020;11;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
11Jan2020;11;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
11Jan2020;11;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
11Jan2020;11;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
11Jan2020;11;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
11Jan2020;11;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
11Jan2020;11;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
11Jan2020;11;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
